figure_order,pathway,cell_type,disease,NES,FDR,FDR05
21,Diseases associated with the TLR signaling cascade,Oligo,AD,1.2722567657485846,0.656700454186217,False
21,Diseases associated with the TLR signaling cascade,Oligo,PD,1.753215304046984,0.0774408581065013,False
22,Defective pyroptosis,Astro,AD,1.0414181723159464,0.6615981517604322,False
22,Defective pyroptosis,Astro,PD,1.1232171170624892,0.6738429439363941,False
22,Defective pyroptosis,Micro,AD,-0.7365987956025545,0.9838451966001968,False
22,Defective pyroptosis,Micro,PD,-1.5483101744923409,0.0844463861843494,False
22,Defective pyroptosis,OPC,AD,1.5157261013410144,0.5845821662135438,False
22,Defective pyroptosis,OPC,PD,1.2664943996940434,0.4796223445263646,False
22,Defective pyroptosis,Oligo,AD,1.5739041610449207,0.5924445897331615,False
22,Defective pyroptosis,Oligo,PD,1.2947883919131165,0.3258461975680213,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Astro,AD,1.4303897974620856,0.2387733460298223,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Astro,PD,0.8824918763881499,0.9240971154512504,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Micro,AD,1.1811924812531094,0.7902087411351386,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Micro,PD,2.192275049847171,0.0009513935729929,True
23,Constitutive Signaling by Aberrant PI3K in Cancer,OPC,AD,1.1231447864006692,0.8037346015474011,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,OPC,PD,1.1219269711668305,0.6498880091028761,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Oligo,AD,1.3319129942894048,0.6269369789367975,False
23,Constitutive Signaling by Aberrant PI3K in Cancer,Oligo,PD,1.3354869963569136,0.2967609514997651,False
24,Spry regulation of FGF signaling,Astro,AD,-1.1763290468411531,0.6325433547671397,False
24,Spry regulation of FGF signaling,Astro,PD,-1.516418154198262,0.0905434277995533,False
24,Spry regulation of FGF signaling,Micro,AD,-1.105691030701844,0.8646677320793305,False
24,Spry regulation of FGF signaling,Micro,PD,-1.3481570479658154,0.1949139599598131,False
24,Spry regulation of FGF signaling,OPC,AD,-1.2202095482638222,0.4506418009818313,False
24,Spry regulation of FGF signaling,OPC,PD,-1.3652704454081557,0.3629305272846312,False
24,Spry regulation of FGF signaling,Oligo,AD,-0.9020438025390164,1.0,False
24,Spry regulation of FGF signaling,Oligo,PD,-0.6910221703302566,0.9859518684182824,False
25,ESR-mediated signaling,Astro,AD,1.2298728108859722,0.4186477532637476,False
25,ESR-mediated signaling,Astro,PD,1.0371802254890288,0.7630243816109865,False
25,ESR-mediated signaling,Micro,AD,1.2926456335580383,0.6777461857663374,False
25,ESR-mediated signaling,Micro,PD,1.1053094646338495,0.5737897639559719,False
25,ESR-mediated signaling,OPC,AD,1.2782740180069907,0.6410666395078655,False
25,ESR-mediated signaling,OPC,PD,1.220877009449965,0.5363845031617148,False
25,ESR-mediated signaling,Oligo,AD,1.1748879228312836,0.7330634285816925,False
25,ESR-mediated signaling,Oligo,PD,1.660564378618914,0.1018768885487666,False
26,SARS-CoV-2-host interactions,Astro,AD,-1.2746001416595905,0.5332198770804887,False
26,SARS-CoV-2-host interactions,Astro,PD,-1.4455619788815504,0.127989295052109,False
26,SARS-CoV-2-host interactions,Micro,AD,-1.0850014084472002,0.8899633238876786,False
26,SARS-CoV-2-host interactions,Micro,PD,-1.4269488698231885,0.1458448011342043,False
26,SARS-CoV-2-host interactions,OPC,AD,-1.1922736596752208,0.4721695643670904,False
26,SARS-CoV-2-host interactions,OPC,PD,-1.2510378003338518,0.4938259664447778,False
26,SARS-CoV-2-host interactions,Oligo,AD,0.8575638081770978,0.9521504641546692,False
26,SARS-CoV-2-host interactions,Oligo,PD,0.9696345362742635,0.7038128998725338,False
27,Aerobic respiration and respiratory electron transport,Astro,AD,-1.1859840616210606,0.6303475933773574,False
27,Aerobic respiration and respiratory electron transport,Astro,PD,-2.5221567187225804,0.0,True
27,Aerobic respiration and respiratory electron transport,Micro,AD,-1.005123522539385,0.988939339202937,False
27,Aerobic respiration and respiratory electron transport,Micro,PD,-1.8689462875467384,0.0117407270507398,True
27,Aerobic respiration and respiratory electron transport,OPC,AD,-1.319590908267818,0.3698281925956683,False
