candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
2299,WDR26,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.1729011839647866,0.08037528395243346,0.06858631229422735,0.1427751907906489,True,7,,,,False,0,-0.2826555725796005,0.1804926830456605,0.2665240942430862,False,0,0,0,0
2300,P4HB,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.24809869434040144,0.06855526961609479,0.06855526961609479,0.132031563758603,True,7,-0.4835234116658924,0.3559927608231452,0.8768494707880053,False,1,1.0308987467033042,0.0325171349452567,0.0783746514526397,False,3,0,0,0
2301,NUMB,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.08130070174657514,0.03949040359017135,0.06850094343316171,0.1214767597309143,True,7,,,,False,0,0.0844221032667724,0.8016727228810479,0.8419116932858541,False,3,0,0,0
2302,MIEN1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.14827177487888055,0.0333644684508213,0.0684867228387423,0.3435366015409461,True,7,-0.8559882358123971,0.041427598418021,0.8768494707880053,False,1,,,,False,0,0,0,0
2303,ZNF124,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.06225082088972185,0.17725952467445294,0.06836110205595296,0.2338766693736689,True,7,,,,False,0,,,,False,0,0,0,0
2304,PLCB3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0683056874152686,0.2110487006852267,0.0683056874152686,0.2728970749534982,True,7,,,,False,0,,,,False,0,0,0,0
2305,DCAF5,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0770550857283641,0.17713487445866927,0.06827816477584944,0.1896324181141043,True,7,,,,False,0,-0.3353048889824243,0.0450131517005355,0.0978120833630194,False,0,0,0,0
2306,OAF,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.1361280667493491,-0.14864572102075013,0.06826154796807105,0.2010532715895582,True,7,-0.0961699012264354,0.9148514008064196,0.9668369637958144,False,3,0.767131667670224,0.0560100138557775,0.1135394738937844,False,1,0,0,0
2307,EPS15,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0797225153370982,0.07882167196006484,0.0682601638849899,0.131797754277381,True,7,-0.521129142794905,0.3959386737905738,0.8768494707880053,False,1,,,,False,0,0,0,0
2308,CCDC136,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.07563330490881624,-0.1499296632234694,0.06804410656102375,0.2887321783502577,True,7,,,,False,0,,,,False,0,0,0,0
2309,ELP3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.18438877193214614,0.06798664054024615,0.06798664054024615,0.1256280526590838,True,7,,,,False,0,,,,False,0,0,0,0
2310,PPWD1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.0626618882315978,-0.12898478681874007,0.067928449450231,0.0916444888956874,True,7,,,,False,0,,,,False,0,0,0,0
2311,PODXL,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.21698061208362746,-0.12337330150087489,0.0678951501026363,0.4035080931706454,True,7,-0.2028193099021251,0.6859052390904808,0.8998895469979937,False,3,,,,False,0,0,0,0
2312,RHOBTB2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.12562049843607054,-0.0541173155244283,0.0677494820272688,0.1141938900518069,True,7,,,,False,0,,,,False,0,0,0,0
2313,SEPT9,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.28494972036707783,-0.040559850765998495,0.06767868870125565,0.2066927655404095,True,7,,,,False,0,,,,False,0,0,0,0
2314,NHS,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.09469277690448255,0.25843063712196535,0.06760343742159705,0.4269442467222236,True,7,,,,False,0,,,,False,0,0,0,0
2315,AC007364.1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.09703945801512581,-0.08592048540738585,0.0675398944897396,0.1908679384593822,True,4,,,,False,0,,,,False,0,0,0,0
2316,SLC37A1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.07859073611134859,-0.12368730163666786,0.06749200892172111,0.0986315872339434,True,7,,,,False,0,,,,False,0,0,0,0
2317,SLC9B2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.12226936129952665,0.04797768558407185,0.0674648189744192,0.1793876515140993,True,7,,,,False,0,,,,False,0,0,0,0
2318,SEPT2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.0755868471701891,-0.0516253059230595,0.0673437222107673,0.0920982511376684,True,7,,,,False,0,,,,False,0,0,0,0
2319,GTF3A,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.08513860714677829,0.10692514210843665,0.06730285760181025,0.1574918070904866,True,7,,,,False,0,,,,False,0,0,0,0
2320,TMEM106B,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.3059293561687675,0.0672043629853679,0.0672043629853679,0.2777202939630961,True,7,-0.838108244990984,0.3693628785673496,0.8768494707880053,False,0,0.1898081197516368,0.2507445615440994,0.3420788103880154,False,4,0,0,0
2321,BCL7B,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.1875887130147497,-0.17964314226034128,0.06715458145057895,0.2971983646660341,True,7,,,,False,0,,,,False,0,0,0,0
2322,GPSM2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.3161988839320506,0.0668353260863218,0.0668353260863218,0.1739652650060006,True,7,,,,False,0,,,,False,0,0,0,0
2323,C2CD5,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.19123120507587582,0.049465641139421604,0.06672085602850815,0.1072503601208885,True,7,-0.4422655876456787,0.5493842899691057,0.8804819120304419,False,1,,,,False,0,0,0,0
2324,SURF6,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.13281670666244222,0.0442585082742955,0.06658860203782785,0.0919660149495384,True,7,,,,False,0,,,,False,0,0,0,0
2325,SPRY2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.2811343507831939,0.1317720903486809,0.06649293785568816,0.2313533045227515,True,7,,,,False,0,,,,False,0,0,0,0
